gradient_weight,merge_weight,Score,MaxTile
40.0,20.0,15656,8192
40.0,20.0,14714,8192
40.0,20.0,15756,8192
40.0,20.0,24430,16384
40.0,30.0,12324,8192
40.0,30.0,13996,8192
40.0,30.0,14374,8192
40.0,30.0,15280,8192
40.0,30.0,10458,8192
40.0,30.0,14384,8192
40.0,30.0,16406,8192
40.0,30.0,16452,8192
40.0,30.0,16272,8192
40.0,30.0,22556,16384
40.0,40.0,6148,4096
40.0,40.0,7096,4096
40.0,40.0,10098,8192
40.0,40.0,8236,4096
40.0,40.0,12302,8192
40.0,40.0,16386,8192
40.0,40.0,15876,8192
40.0,40.0,16382,8192
40.0,40.0,16394,8192
40.0,40.0,16392,8192
40.0,50.0,8256,4096
40.0,50.0,6422,4096
40.0,50.0,9796,8192
40.0,50.0,12332,8192
40.0,50.0,14374,8192
40.0,50.0,15946,8192
40.0,50.0,12324,8192
40.0,50.0,16304,8192
40.0,50.0,16420,8192
40.0,50.0,22510,16384
40.0,60.0,4406,2048
40.0,60.0,6210,4096
40.0,60.0,11302,8192
40.0,60.0,12450,8192
40.0,60.0,12204,8192
40.0,60.0,16030,8192
40.0,60.0,16376,8192
40.0,60.0,14380,8192
40.0,60.0,16422,8192
40.0,60.0,20778,16384
40.0,70.0,11316,8192
40.0,70.0,12188,8192
40.0,70.0,12340,8192
40.0,70.0,14352,8192
40.0,70.0,14388,8192
40.0,70.0,14348,8192
40.0,70.0,16388,8192
40.0,70.0,16242,8192
40.0,70.0,16364,8192
40.0,70.0,23596,16384
40.0,80.0,4174,2048
40.0,80.0,7672,4096
40.0,80.0,8254,4096
40.0,80.0,10286,8192
40.0,80.0,11338,8192
40.0,80.0,10342,8192
40.0,80.0,16348,8192
40.0,80.0,16288,8192
40.0,80.0,16360,8192
40.0,80.0,16402,8192
40.0,90.0,8118,4096
40.0,90.0,9264,8192
40.0,90.0,10288,8192
40.0,90.0,8238,4096
40.0,90.0,8210,4096
40.0,90.0,12438,8192
40.0,90.0,12340,8192
40.0,90.0,11492,8192
40.0,90.0,14882,8192
40.0,90.0,15548,8192
40.0,100.0,4156,2048
40.0,100.0,3208,2048
40.0,100.0,6216,4096
40.0,100.0,7526,4096
40.0,100.0,11450,8192
40.0,100.0,11822,8192
40.0,100.0,11086,8192
40.0,100.0,15372,8192
40.0,100.0,16456,8192
40.0,100.0,16410,8192
50.0,0.0,8230,4096
50.0,0.0,8270,4096
50.0,0.0,10546,8192
50.0,0.0,11868,8192
50.0,0.0,12136,8192
50.0,0.0,11468,8192
50.0,0.0,15922,8192
50.0,0.0,16348,8192
50.0,0.0,12360,8192
50.0,0.0,15378,8192
50.0,10.0,7288,4096
50.0,10.0,12138,8192
50.0,10.0,12484,8192
50.0,10.0,13890,8192
50.0,10.0,14892,8192
50.0,10.0,15388,8192
50.0,10.0,15320,8192
50.0,10.0,16310,8192
50.0,10.0,15904,8192
50.0,10.0,16380,8192
50.0,20.0,8684,4096
50.0,20.0,7732,4096
50.0,20.0,9944,8192
50.0,20.0,15308,8192
50.0,20.0,15586,8192
50.0,20.0,12312,8192
50.0,20.0,12030,8192
50.0,20.0,16386,8192
50.0,20.0,23596,16384
50.0,20.0,23522,16384
50.0,30.0,7202,4096
50.0,30.0,8194,4096
50.0,30.0,8324,4096
50.0,30.0,11312,8192
50.0,30.0,12316,8192
50.0,30.0,11852,8192
50.0,30.0,16218,8192
50.0,30.0,16406,8192
50.0,30.0,16408,8192
50.0,30.0,24612,16384
50.0,40.0,8150,4096
50.0,40.0,12332,8192
50.0,40.0,10268,8192
50.0,40.0,16016,8192
50.0,40.0,16252,8192
50.0,40.0,14358,8192
50.0,40.0,16172,8192
50.0,40.0,16326,8192
50.0,40.0,16422,8192
50.0,40.0,14378,8192
50.0,50.0,7138,4096
50.0,50.0,8198,4096
50.0,50.0,7972,4096
50.0,50.0,12448,8192
50.0,50.0,16318,8192
50.0,50.0,16370,8192
50.0,50.0,15906,8192
50.0,50.0,15628,8192
50.0,50.0,16300,8192
50.0,50.0,23420,16384
50.0,60.0,8256,4096
50.0,60.0,11346,8192
50.0,60.0,11260,8192
50.0,60.0,16230,8192
50.0,60.0,16396,8192
50.0,60.0,15400,8192
50.0,60.0,16108,8192
50.0,60.0,14296,8192
50.0,60.0,16124,8192
50.0,60.0,23576,16384
50.0,70.0,7982,4096
50.0,70.0,7740,4096
50.0,70.0,12346,8192
50.0,70.0,14370,8192
50.0,70.0,13608,8192
50.0,70.0,14310,8192
50.0,70.0,15492,8192
50.0,70.0,12300,8192
50.0,70.0,16420,8192
50.0,70.0,16098,8192
50.0,80.0,4390,2048
50.0,80.0,6252,4096
50.0,80.0,15398,8192
50.0,80.0,16440,8192
50.0,80.0,16318,8192
50.0,80.0,16350,8192
50.0,80.0,15328,8192
50.0,80.0,16006,8192
50.0,80.0,16350,8192
50.0,80.0,20396,16384
50.0,90.0,6278,4096
50.0,90.0,8284,4096
50.0,90.0,12038,8192
50.0,90.0,14116,8192
50.0,90.0,12334,8192
50.0,90.0,14286,8192
50.0,90.0,16154,8192
50.0,90.0,16256,8192
50.0,90.0,11286,8192
50.0,90.0,16418,8192
50.0,100.0,6174,4096
50.0,100.0,8224,4096
50.0,100.0,7242,4096
50.0,100.0,12308,8192
50.0,100.0,14408,8192
50.0,100.0,14416,8192
50.0,100.0,14258,8192
50.0,100.0,16404,8192
50.0,100.0,19610,16384
50.0,100.0,16266,8192
60.0,0.0,4168,2048
60.0,0.0,8272,4096
60.0,0.0,12330,8192
60.0,0.0,11356,8192
60.0,0.0,12558,8192
60.0,0.0,9992,8192
60.0,0.0,16176,8192
60.0,0.0,16130,8192
60.0,0.0,14374,8192
60.0,0.0,16284,8192
60.0,10.0,8238,4096
60.0,10.0,7740,4096
60.0,10.0,7974,4096
60.0,10.0,13446,8192
60.0,10.0,14418,8192
60.0,10.0,15408,8192
60.0,10.0,15924,8192
60.0,10.0,16432,8192
60.0,10.0,16422,8192
60.0,10.0,20438,16384
60.0,20.0,8168,4096
60.0,20.0,7172,4096
60.0,20.0,7738,4096
60.0,20.0,10356,8192
60.0,20.0,12280,8192
60.0,20.0,13480,8192
60.0,20.0,15970,8192
60.0,20.0,16152,8192
60.0,20.0,14098,8192
60.0,20.0,16384,8192
60.0,30.0,4304,2048
60.0,30.0,10300,8192
60.0,30.0,14404,8192
60.0,30.0,16336,8192
60.0,30.0,14408,8192
60.0,30.0,15410,8192
60.0,30.0,16386,8192
60.0,30.0,16406,8192
60.0,30.0,15838,8192
60.0,30.0,22574,16384
60.0,40.0,7996,4096
60.0,40.0,11184,8192
60.0,40.0,12124,8192
60.0,40.0,15868,8192
60.0,40.0,16250,8192
